,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
se,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co
 , ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se
ch’i’ ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, 
 ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho
scor, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, 
te,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor
@,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te
@, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@
io,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@
 , ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io
non,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, 
 ,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non
so, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, 
 ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so
ben,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, 
 ,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben
ri,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, 
dir,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri
 , ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir
co,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, 
m’ ,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co
i’ , ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ 
@,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai
tan, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@
t’ ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan
e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ 
ra,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e
 ,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra
 ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien
di, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, 
 ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di
son,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, 
no,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son
 ,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no
a, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, 
 ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a
quel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, 
 ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel
pun,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel, 
to, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel, ,pun
@,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel, ,pun,to
che,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel, ,pun,to,@
 ,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel, ,pun,to,@,che
la, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò, ,de, ,l’al,tre, ,co,se, ,ch’i’ ,v’ho, ,scor,te,@,@,io, ,non, ,so, ,ben, ,ri,dir, ,co,m’ ,i’ ,v’in,trai,@,tan,t’ ,e,ra, ,pien, ,di, ,son,no, ,a, ,quel, ,pun,to,@,che, 
